Title,Link,Price,Description,Images,Colors,Year,Transmission,Condition
TOYOTA RAV4 HYBRID 2019,https://www.smartautos.co.ke/detail/TOYOTARAV4 HYBRID-18348.html,6000000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_8aee71b0c59015acf81eb0ca88252520_25102023110948.png
https://www.smartautos.co.ke/images/CarPhotos/Large_a10ba9d4d8a3a65b81df93ddc8060f77_25102023110948.png
https://www.smartautos.co.ke/images/CarPhotos/Large_b702fcf97999d93bbb61d99eba106ca9_25102023110948.png
https://www.smartautos.co.ke/images/CarPhotos/Large_4b40af6b1ec67cde5a9a6a72ff5acd50_25102023110948.png
https://www.smartautos.co.ke/images/CarPhotos/Large_dc91ac76525261893d5377b20d2e4881_25102023110948.png
https://www.smartautos.co.ke/images/CarPhotos/Large_f43cabd68c1f16fd8886ad4d79d5bf40_25102023110948.png
https://www.smartautos.co.ke/images/CarPhotos/Large_5de7d1136034b8d04f77c852107307b7_25102023110949.png
https://www.smartautos.co.ke/images/CarPhotos/Large_d3991e6d37c135b3a949608ccd65563e_25102023110949.png",Pearl,2019,Auto,Foreign Used
TOYOTA AQUA HYBRID 2016,https://www.smartautos.co.ke/detail/TOYOTAAQUA HYBRID-18351.html,1500000.00,"Rear Wiper, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, ABS, Air Bags, Electric Mirrors, Front Grill, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_089e1fa97707d6c8f7c8a8008558e149_26102023014854.png
https://www.smartautos.co.ke/images/CarPhotos/Large_f86e5679cc12a761c472cc68f9c1dd90_26102023014854.png
https://www.smartautos.co.ke/images/CarPhotos/Large_c765ee091c4fb6cecd738e45fd9b1709_26102023014854.png
https://www.smartautos.co.ke/images/CarPhotos/Large_4075bb134a9070eebd588ac5c8cbb662_26102023014854.png",Silver,2016,Auto,Foreign Used
TOYOTA LAND CRUISER PRADO. 2019,https://www.smartautos.co.ke/detail/TOYOTALAND CRUISER PRADO.-18357.html,9000000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Sun Roof, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Reverse Camera, Electric Seats, ABS, Reverse Parking Sensors, 7 Seater, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_5e567287f04c5a37709adb66ad0dc2ad_27102023082812.png
https://www.smartautos.co.ke/images/CarPhotos/Large_751c6513a0b2499433c4b62df0d33699_27102023082812.png
https://www.smartautos.co.ke/images/CarPhotos/Large_23465875319ad23c6c062fad649a1d06_27102023082812.png
https://www.smartautos.co.ke/images/CarPhotos/Large_e4d0a66a0c56444e2eb3969ac2a14a4b_27102023082812.png
https://www.smartautos.co.ke/images/CarPhotos/Large_c3fdcd1f9eb0300aeb772bb880c7523d_27102023082812.png",Grey,2019,Auto,Foreign Used
MERCEDES E200 2017,https://www.smartautos.co.ke/detail/MERCEDESE200-18358.html,4800000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Electric Seats, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_afb2a154d1ebd5ccbc1df872eb3b397b_27102023082946.png
https://www.smartautos.co.ke/images/CarPhotos/Large_c817a519e84cab42586aa949701edb3a_27102023082947.png
https://www.smartautos.co.ke/images/CarPhotos/Large_df09187cf41e8a3e8fdd61e03c5a256b_27102023082947.png
https://www.smartautos.co.ke/images/CarPhotos/Large_7c2835b3b2a45107a175101a4618137b_27102023082947.png
https://www.smartautos.co.ke/images/CarPhotos/Large_28f244dedcc62e61f276274b0503ca4b_27102023082947.png
https://www.smartautos.co.ke/images/CarPhotos/Large_ae141daee7c2b545dff43c9ea78b2e1c_27102023082947.png",Black,2017,Auto,Foreign Used
NISSAN CARAVAN 2016,https://www.smartautos.co.ke/detail/NISSANCARAVAN-18359.html,2600000.00,"Air Conditioning, Power Steering","https://www.smartautos.co.ke/images/CarPhotos/Large_08d5ac7b4c7101b85fcf7d14b86bc662_27102023093638.png
https://www.smartautos.co.ke/images/CarPhotos/Large_3307f3c29c2bae22379c6774e6c58318_27102023093638.png
https://www.smartautos.co.ke/images/CarPhotos/Large_b3f395777a65bb767fe17ca5f2b7b22b_27102023093639.png
https://www.smartautos.co.ke/images/CarPhotos/Large_060aa6bb10a0123616a58c1a6d6b281e_27102023093639.png
https://www.smartautos.co.ke/images/CarPhotos/Large_c3166b41fcc84383fd838264271707dd_27102023093639.png",White,2016,Auto,Foreign Used
TOYOTA AURIS HYBRID 2017,https://www.smartautos.co.ke/detail/TOYOTAAURIS HYBRID-18362.html,1900000.00,"Fog Lights, Rear Wiper, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors, Half leather","https://www.smartautos.co.ke/images/CarPhotos/Large_34de58a33bcbc317e10ff519f6507860_30102023083215.png
https://www.smartautos.co.ke/images/CarPhotos/Large_dc9d6de49618d91e1afe670ac0bf0ae5_30102023083215.png
https://www.smartautos.co.ke/images/CarPhotos/Large_cf97afe50585332a534608d8375615cc_30102023083215.png
https://www.smartautos.co.ke/images/CarPhotos/Large_36b864d939b9cd9033ba513551a46059_30102023083215.png
https://www.smartautos.co.ke/images/CarPhotos/Large_6e641191e29f3005579e4f99e28874b3_30102023083215.png
https://www.smartautos.co.ke/images/CarPhotos/Large_535efd736c2b582ef59e7096a71ebb7c_30102023083215.png
https://www.smartautos.co.ke/images/CarPhotos/Large_3360465580186dd7ffead6218be1e723_30102023083215.png
https://www.smartautos.co.ke/images/CarPhotos/Large_b92eec10b56468f45f798c2700cfac0c_30102023083215.png
https://www.smartautos.co.ke/images/CarPhotos/Large_f73765f9ed2f48aeb7a96fd4c82247fc_30102023083215.png",Pearl,2017,Auto,Foreign Used
AUDI Q5 2016,https://www.smartautos.co.ke/detail/AUDIQ5-18366.html,4300000.00,"Fog Lights, Rear Wiper, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Electric Seats, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors, Half leather","https://www.smartautos.co.ke/images/CarPhotos/Large_d06aca1c3325b8825ea84c1277c054ef_30102023090752.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_a88db19ed3d29844b51f350bd864f09a_30102023090752.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_8d33ea548d95e71c61b2f460d1eb4b6d_30102023090752.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_3e184487f070eb299a4cad85f3a1226a_30102023090752.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_5877d4e81ad5aa45decc11ec15e5e3db_30102023090752.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_8bb9f873166f9e4699459a50bb6d8f6a_04022024120625.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_298425fda182e31ab00b87234ac58fe9_04022024120625.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_42643af0e4e6be3439b226acccdfb73a_04022024120625.jpg",Pearl,2016,Auto,Foreign Used
NISSAN CARAVAN 2016,https://www.smartautos.co.ke/detail/NISSANCARAVAN-18367.html,2600000.00,"Air Conditioning, Power Steering","https://www.smartautos.co.ke/images/CarPhotos/Large_89b408ebd2e9c4fea49066615907fc2e_30102023113431.png
https://www.smartautos.co.ke/images/CarPhotos/Large_60ca275251c5c931fbc92b11c877609a_30102023113431.png
https://www.smartautos.co.ke/images/CarPhotos/Large_973a897ba2268792149599440dc9d679_30102023113431.png
https://www.smartautos.co.ke/images/CarPhotos/Large_7732d09b97af8a9fcb5ef5eae1f53359_30102023113431.png
https://www.smartautos.co.ke/images/CarPhotos/Large_0dbdf10e76b4c42f2afe729fba5cc6bb_30102023113431.png",Silver,2016,Auto,Foreign Used
TOYOTA PROBOX 2018,https://www.smartautos.co.ke/detail/TOYOTAPROBOX-18371.html,1300000.00,"Air Conditioning, Power Steering","https://www.smartautos.co.ke/images/CarPhotos/Large_44abb88516db62dd6f7013ca5daf897b_01112023121817.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_5368f6dd112f80025d3bd6e01d41d75a_01112023121817.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_3eaf2b125083c299df87addc4e7cc839_01112023121818.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_a60282c6c303df3392700ebc52a592c9_01112023121818.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_8e490a8fe9cad60a7809cee14a853c24_01112023121818.jpg",White,2018,Auto,Foreign Used
NISSAN XTRAIL 2016,https://www.smartautos.co.ke/detail/NISSANXTRAIL-18373.html,2600000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Electric Seats, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_c2b1cccb1c415c277ad0fa52e865f911_01112023122135.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_97c948aa89d872d50a21f66199796251_01112023122136.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_a67cffb3ede372a8013b21b34352e328_01112023122136.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_b25e018948f25cca7bc95feedee01f32_01112023122136.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_41246c803f6ed7e283a83a3d3f406652_01112023122136.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_5707eec2a145cff6b6077f064bdccb94_04022024120417.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_68e242db87ceb3217eb240e52ef02a0c_04022024120417.jpg",Grey,2016,Auto,Foreign Used
AUDI Q5 2017,https://www.smartautos.co.ke/detail/AUDIQ5-18374.html,4700000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Electric Seats, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors, Half leather","https://www.smartautos.co.ke/images/CarPhotos/Large_332908040a48f1605f9149d423045d40_02112023111419.png
https://www.smartautos.co.ke/images/CarPhotos/Large_496eb6f1590a08e0f7b6a03a8847444e_02112023111420.png
https://www.smartautos.co.ke/images/CarPhotos/Large_6d69709fa1172b854bbf0f23b799ab25_02112023111420.png
https://www.smartautos.co.ke/images/CarPhotos/Large_3e3a9d125c255563082db76e655c8c39_02112023111420.png
https://www.smartautos.co.ke/images/CarPhotos/Large_386f9cc70ed3e28ac5e821eb9e14d20c_02112023111420.png
https://www.smartautos.co.ke/images/CarPhotos/Large_0014e3f12150d31335789bfe10870151_02112023111420.png",Grey,2017,Auto,Foreign Used
TOYOTA LAND CRUISER PRADO. 2017,https://www.smartautos.co.ke/detail/TOYOTALAND CRUISER PRADO.-18379.html,6500000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Sun Roof, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Electric Seats, ABS, 7 Seater, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_f84186399a7ecf5d84a24cab0e9ee52e_02112023113605.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_73d04759df7cea7cbdcfa1fc53c6995a_02112023113605.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_e365c4437773c1055937dbbcd44e58cc_02112023113606.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_0d83548dde60d40f65b38e13797e3c1f_02112023113606.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_1da14818c0b3518f48be1e505d149fec_02112023113606.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_5f1263de4822dfb65452bb746872d031_02112023113606.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_f218a33c1cf857fa5aef1a910838168c_26022024031143.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_7c350a570b6b798a1049158edca682ea_26022024031143.jpg",Pearl,2017,Auto,Foreign Used
TOYOTA LAND CRUISER V8 2015,https://www.smartautos.co.ke/detail/TOYOTALAND CRUISER V8-18381.html,9500000.00,"Cruise Control, CD Player, Sun Roof, Central Locking, Air Conditioning, Power Steering, Power Windows, Reverse Camera, ABS, Reverse Parking Sensors, 7 Seater, Air Bags, Alloy Wheels, Electric Mirrors, Multi Function Steering Wheel, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_41f931e972efec8cd5b80527064bcef5_02112023120556.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_6d7d689cdeca22ed07e2540185b8b59c_02112023120556.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_2da3c4861fc855a396ac34315bc563fb_02112023120556.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_495870bf597b3d5b67b968c38e9c9a13_02112023120614.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_aace6ab345a8b3227b2615d8a13a234f_02112023120614.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_d1f21c6112c24fb6c38258dffff1e53a_02112023120614.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_18303faba728c0b347772bcf0267d22f_02112023120635.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_577a33e853b0604743797e9e1f0dba01_02112023120635.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_33b5d439c54d28103aba95c7f384d673_02112023120635.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_b0473ff051039777941d8e3f9cc27c3d_02112023120635.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_f9efe196e0ef9316bc8d3ece760d551c_02112023120635.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_b917fabf34d6046c6b370bc993dc9264_02112023120635.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_bc58736e304d646965e5d3451c2fae2e_02112023120636.jpeg
https://www.smartautos.co.ke/images/CarPhotos/Large_49b17c07444038d20fa7340ce81e40ca_02112023120636.jpeg",White,2015,Auto,Locally Used
NISSAN XTRAIL 2016,https://www.smartautos.co.ke/detail/NISSANXTRAIL-18385.html,2700000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Electric Seats, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_ca6807884b1a4e21fa3ad237c7a98490_03112023013146.png
https://www.smartautos.co.ke/images/CarPhotos/Large_73562909e30a737ab2e09dad8aecb8dd_03112023013146.png
https://www.smartautos.co.ke/images/CarPhotos/Large_01523c8cf0576d0754e3c7c5a7a66fbc_03112023013146.png
https://www.smartautos.co.ke/images/CarPhotos/Large_5b427b4eff65d5a29aa9d59571789537_03112023013147.png
https://www.smartautos.co.ke/images/CarPhotos/Large_26147ac73891a2e83759b61953da2b86_03112023013147.png
https://www.smartautos.co.ke/images/CarPhotos/Large_bf294f9133110a6e54077241d7adbb11_03112023013147.png",Black,2016,Auto,Foreign Used
TOYOTA HILUX DOUBLE CAB 2018,https://www.smartautos.co.ke/detail/TOYOTAHILUX DOUBLE CAB-18390.html,5700000.00,"Fog Lights, Rear Wiper, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_56272229e8834c984d02d03a6efbe4f8_04112023011014.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_a55ec6c510212bc2e0d9002fdfda4161_04112023011014.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_0f1f5c4967c963601692416ecd772056_04112023011014.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_8fca402bf33bcc172132c2fcef4939eb_04112023011014.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_586ed10e5dc2fd298748d519af9965d5_04112023011014.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_08f979c7725e6555145cec8c4cff1158_04112023011014.jpg",Black,2018,Auto,Foreign Used
TOYOTA HIACE 2016,https://www.smartautos.co.ke/detail/TOYOTAHIACE-18391.html,3400000.00,"Air Conditioning, Power Steering","https://www.smartautos.co.ke/images/CarPhotos/Large_12fe50f2c09df6e7fa3bb9d0be76d832_04112023011208.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_ec4ef4495e840f50b5aeb99f635b2086_04112023011208.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_8bc607be44786f6fb2389c5e6e32afe7_04112023011208.jpg",White,2016,Auto,Foreign Used
NISSAN XTRAIL 2017,https://www.smartautos.co.ke/detail/NISSANXTRAIL-18392.html,2800000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Electric Seats, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_5fbbe1d12650e1713188f9a2277952da_06112023100542.png
https://www.smartautos.co.ke/images/CarPhotos/Large_6a2440d4fdbad795bccd4added7c0e31_06112023100542.png
https://www.smartautos.co.ke/images/CarPhotos/Large_24291927e4c4956c744c917c65ebaeef_06112023100542.png
https://www.smartautos.co.ke/images/CarPhotos/Large_311ac91e9b1bfda212b6d489d85bdc69_06112023100542.png
https://www.smartautos.co.ke/images/CarPhotos/Large_0710f7ad73e2863f6627182849c021fd_06112023100543.png
https://www.smartautos.co.ke/images/CarPhotos/Large_2f1cf1ffb221d4867a8db55888015f8b_06112023100543.png",Blue,2017,Auto,Foreign Used
TOYOTA LAND CRUISER PRADO. 2018,https://www.smartautos.co.ke/detail/TOYOTALAND CRUISER PRADO.-18403.html,7000000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Sun Roof, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Electric Seats, ABS, 7 Seater, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_2b064c50f9b163b0267cc58cef8d2898_08112023011929.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_0128368f84d1f2ec7ec3096d1bb863c9_08112023011929.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_5e4cdb4c579384d34141ad51ec99bb6c_08112023011929.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_a7cf8ee04d5ceb5b6f93c47ebdfed70f_08112023011929.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_b7470589eb62ece607ce93df6322b8ac_08112023011929.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_0968d1cfc0041c416e2564d073ad95a7_08112023011929.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_854e051edf72214f26bebb82b212d71d_08112023011929.jpg",Pearl,2018,Auto,Foreign Used
TOYOTA ALLION 2016,https://www.smartautos.co.ke/detail/TOYOTAALLION-18409.html,2700000.00,"Rear Wiper, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, ABS, Air Bags, Electric Mirrors, Front Grill, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_11ac6a89275cf91d42a1313a9a3c8e96_09112023090424.png
https://www.smartautos.co.ke/images/CarPhotos/Large_c7ce883e5cf0d6e5729a100e7a0d39fb_09112023090424.png
https://www.smartautos.co.ke/images/CarPhotos/Large_14a2ed00dd43dc4f795ed9f555ea6e18_09112023090424.png
https://www.smartautos.co.ke/images/CarPhotos/Large_7ba28a0ba6012847818d933d421c3c42_09112023090424.png
https://www.smartautos.co.ke/images/CarPhotos/Large_ca1338674e681c43d22fe9181bbbf12b_09112023090424.png
https://www.smartautos.co.ke/images/CarPhotos/Large_97d0400260f7fc7fabff49b910c5b0c3_09112023090424.png
https://www.smartautos.co.ke/images/CarPhotos/Large_0946ce41d4c831131bac9251d68cdff4_09112023090424.png",Pearl,2016,Auto,Foreign Used
MERCEDES E200 2016,https://www.smartautos.co.ke/detail/MERCEDESE200-18410.html,5000000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Sun Roof, Central Locking, Air Conditioning, Power Steering, Power Windows, Electric Seats, ABS, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors, Panaromic sunroof","https://www.smartautos.co.ke/images/CarPhotos/Large_267ee3906e7e80deda64750747e129b1_09112023112107.png
https://www.smartautos.co.ke/images/CarPhotos/Large_a481713f001b0d28571a21854e576392_09112023112107.png
https://www.smartautos.co.ke/images/CarPhotos/Large_b4a5fc9266626d62dea843edf1e03bfa_09112023112107.png
https://www.smartautos.co.ke/images/CarPhotos/Large_b2ce857a97d84bb5af27984831115688_09112023112107.png
https://www.smartautos.co.ke/images/CarPhotos/Large_899d6d8f84d14f24c4f02d4bfece02e5_09112023112107.png
https://www.smartautos.co.ke/images/CarPhotos/Large_895ff72ccfbbec5269556e0d6e4523f9_09112023112107.png",Silver,2016,Auto,Foreign Used
TOYOTA LAND CRUISER PRADO. 2017,https://www.smartautos.co.ke/detail/TOYOTALAND CRUISER PRADO.-18411.html,7300000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Electric Seats, ABS, 7 Seater, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_a38fe0dc93c853241490829413c17a5f_09112023115307.png
https://www.smartautos.co.ke/images/CarPhotos/Large_4cd5feec76f77c8ead296618d69d8fcc_09112023115307.png
https://www.smartautos.co.ke/images/CarPhotos/Large_fd30e87055f9680c0480a0d73b9b2f73_09112023115307.png
https://www.smartautos.co.ke/images/CarPhotos/Large_5140d761b0528fd840df0fba0546382e_09112023115307.png
https://www.smartautos.co.ke/images/CarPhotos/Large_d2dd6ccb5cc45ecf8c779e52327d1131_09112023115307.png
https://www.smartautos.co.ke/images/CarPhotos/Large_3856dbc05c2285797e0aa9ff150e29d0_09112023115307.png
https://www.smartautos.co.ke/images/CarPhotos/Large_c4be8c8aa8cc373554e5d384bd5a65aa_09112023115307.png",Bronze,2017,Auto,Foreign Used
TOYOTA PROBOX 2018,https://www.smartautos.co.ke/detail/TOYOTAPROBOX-18417.html,1300000.00,"Air Conditioning, Power Steering","https://www.smartautos.co.ke/images/CarPhotos/Large_e1a3fdd3375915cd6c36ce4652fd1f48_09112023115807.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_ad2299f85ceab1a10854b8a936bc2d48_09112023115807.jpg
https://www.smartautos.co.ke/images/CarPhotos/Large_1d6005e04ed146b5b92247f8320a57ab_09112023115807.jpg",White,2018,Auto,Foreign Used
TOYOTA HIACE 2016,https://www.smartautos.co.ke/detail/TOYOTAHIACE-17964.html,2700000.00,"Air Conditioning, Power Steering","https://www.smartautos.co.ke/images/CarPhotos/Large_1fce2057cbec7344af3bc1931b4f744a_09112023042511.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_70a8ac716f04e094f9d94e5be78c649d_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_95916cf369b509fb53f5784febc31350_09112023042513.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_b5581c5e7488aceaced6213bf6f3f58f_09112023042513.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_c08c559574db6bca4802e9fb62678e54_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_c6d10b4e35646565976fe654313f6054_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_9dd327dc528e1cf6fd753d168dbde1ba_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_bd09c58a3ae5a8c0e28e1cffa53ba2eb_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_322e1861381da59d756818821857e6ea_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_4a6b7284df6973311cd6517376ae4d65_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_7b26f758aa53365cda552a9439a30884_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_ac7ae08dd57d8f2f8ecfbb54bf0d40d8_26072023100639.png
https://www.smartautos.co.ke/images/CarPhotos/Large_afc4aa992fd2ccb6dcebac54df2e4b98_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_ce74265cf87a137450c66b6aa344e1c8_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_49c67c805c3fe61c1cd43196a7499ea8_09112023042512.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_3515e0f23dc1ac6f8b7be37e17e1d0c0_09112023042511.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_0b9d75cedad2fdc5439201742c2226cc_09112023042511.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_13fb87f720499b9c41d3a0b46c2a324e_09112023042511.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_e07175bcbfa566ebe37687fc22690486_09112023042511.JPG
https://www.smartautos.co.ke/images/CarPhotos/Large_8e5eb3de5504edd7a4bf97f09113a977_26072023100639.png",White,2016,Auto,Foreign Used
TOYOTA LAND CRUISER PRADO. 2023,https://www.smartautos.co.ke/detail/TOYOTALAND CRUISER PRADO.-18422.html,10700000.00,"Fog Lights, Rear Wiper, Leather Seats, CD Player, Sun Roof, Central Locking, Air Conditioning, Power Steering, Power Windows, Side Steps, Electric Seats, ABS, 7 Seater, Air Bags, Alloy Wheels, Electric Mirrors, Front Grill, Leather Interior, Rear Spoiler, Xenon Headlights, Power Mirrors","https://www.smartautos.co.ke/images/CarPhotos/Large_9bdce950e05223b3034c74a4217337fa_10112023082312.png
https://www.smartautos.co.ke/images/CarPhotos/Large_848b794829c7de3e8a33ce5e5d968a4a_10112023082312.png
https://www.smartautos.co.ke/images/CarPhotos/Large_da9c9be9a2bfa60fcc0a3dde0dcbab01_10112023082312.png
https://www.smartautos.co.ke/images/CarPhotos/Large_8c7e4ae714223455b54a9690877c3b61_10112023082313.png
https://www.smartautos.co.ke/images/CarPhotos/Large_a885a5e6d0b694dd2d92f21b173c020d_10112023082313.png
https://www.smartautos.co.ke/images/CarPhotos/Large_c845712d92302114c844ab89a47bdf44_10112023082313.png",Black,2023,Auto,Brand New
